Date,Open,High,Low,Close,Adj Close,Volume
2010-03-18,79.750000,82.029999,79.730003,81.839996,81.839996,0
2010-03-25,81.849998,82.239998,80.889999,81.070000,81.070000,0
2010-04-01,81.040001,81.720001,80.680000,81.440002,81.440002,0
2010-04-08,81.639999,81.910004,80.029999,80.190002,80.190002,0
2010-04-15,80.190002,81.330002,80.150002,81.160004,81.160004,0
2010-04-22,81.230003,82.709999,81.040001,82.379997,82.379997,0
2010-04-29,82.269997,84.309998,81.629997,84.080002,84.080002,0
2010-05-06,84.160004,85.269997,82.910004,84.830002,84.830002,0
2010-05-13,84.800003,87.459999,84.540001,86.389999,86.389999,0
2010-05-20,86.290001,87.449997,85.129997,87.120003,87.120003,0
2010-05-27,87.300003,87.470001,85.849998,86.790001,86.790001,0
2010-06-03,86.820000,88.709999,86.300003,87.900002,87.900002,0
2010-06-10,87.900002,88.059998,85.900002,86.080002,86.080002,0
2010-06-17,86.139999,86.519997,85.089996,85.739998,85.739998,0
2010-06-24,85.790001,86.300003,85.209999,86.019997,86.019997,0
2010-07-01,86.099998,86.260002,83.750000,83.820000,83.820000,0
2010-07-08,83.959999,84.559998,83.209999,83.430000,83.430000,0
2010-07-15,83.370003,83.510002,82.089996,83.389999,83.389999,0
2010-07-22,83.250000,83.360001,81.820000,82.180000,82.180000,0
2010-07-29,82.099998,82.160004,80.470001,80.889999,80.889999,0
2010-08-05,80.970001,82.529999,80.089996,82.290001,82.290001,0
2010-08-12,82.459999,83.019997,81.910004,82.220001,82.220001,0
2010-08-19,82.309998,83.559998,82.000000,83.260002,83.260002,0
2010-08-26,83.190002,83.339996,82.190002,82.519997,82.519997,0
2010-09-02,82.480003,83.099998,81.879997,82.589996,82.589996,0
2010-09-09,82.550003,82.989998,81.000000,81.489998,81.489998,0
2010-09-16,81.470001,81.599998,79.559998,79.830002,79.830002,0
2010-09-23,79.830002,80.260002,78.620003,78.690002,78.690002,0
2010-09-30,78.790001,79.019997,77.300003,77.389999,77.389999,0
2010-10-07,77.489998,77.930000,76.910004,77.070000,77.070000,0
2010-10-14,77.019997,78.360001,76.139999,77.169998,77.169998,0
2010-10-21,77.150002,78.269997,76.709999,78.150002,78.150002,0
2010-10-28,78.059998,78.059998,76.220001,76.480003,76.480003,0
2010-11-04,76.389999,78.169998,75.629997,77.629997,77.629997,0
2010-11-11,77.629997,79.459999,77.440002,79.080002,79.080002,0
2010-11-18,78.949997,80.000000,77.970001,79.870003,79.870003,0
2010-11-25,79.750000,81.440002,79.559998,80.709999,80.709999,0
2010-12-02,80.790001,81.019997,79.059998,80.000000,80.000000,0
2010-12-09,80.040001,80.400002,78.830002,80.260002,80.260002,0
2010-12-16,80.209999,80.820000,79.550003,80.730003,80.730003,0
2010-12-23,80.580002,80.830002,79.599998,79.800003,79.800003,0
2010-12-30,79.680000,80.349998,78.779999,80.260002,80.260002,0
2011-01-06,80.180000,81.309998,79.989998,80.029999,80.029999,0
2011-01-13,80.110001,80.239998,78.300003,78.639999,78.639999,0
2011-01-20,78.750000,79.169998,77.690002,77.900002,77.900002,0
2011-01-27,77.750000,78.320000,76.879997,77.160004,77.160004,0
2011-02-03,77.099998,78.349998,77.019997,77.639999,77.639999,0
2011-02-10,77.639999,78.870003,77.610001,78.220001,78.220001,0
2011-02-17,78.199997,78.349998,77.250000,77.410004,77.410004,0
2011-02-24,77.300003,77.480003,76.529999,76.669998,76.669998,0
2011-03-03,76.669998,76.980003,76.120003,76.720001,76.720001,0
2011-03-10,76.720001,77.379997,76.059998,76.680000,76.680000,0
2011-03-17,76.389999,76.660004,75.250000,75.790001,75.790001,0
2011-03-24,75.870003,76.430000,75.459999,76.120003,76.120003,0
2011-03-31,76.139999,76.610001,75.459999,75.510002,75.510002,0
2011-04-07,75.540001,75.820000,74.699997,74.980003,74.980003,0
2011-04-14,74.940002,75.809998,74.269997,74.370003,74.370003,0
2011-04-21,74.400002,74.410004,73.260002,73.519997,73.519997,0
2011-04-28,73.360001,73.360001,72.699997,73.029999,73.029999,0
2011-05-05,73.120003,75.419998,72.809998,75.330002,75.330002,0
2011-05-12,75.279999,76.000000,74.800003,75.470001,75.470001,0
2011-05-19,75.309998,76.370003,74.959999,75.930000,75.930000,0
2011-05-26,75.900002,75.980003,74.309998,74.680000,74.680000,0
2011-06-02,74.830002,74.889999,73.510002,73.930000,73.930000,0
2011-06-09,73.870003,75.660004,73.690002,75.599998,75.599998,0
2011-06-16,75.529999,76.019997,74.500000,74.779999,74.779999,0
2011-06-23,75.019997,75.989998,74.610001,74.690002,74.690002,0
2011-06-30,74.470001,75.180000,74.110001,75.120003,75.120003,0
2011-07-07,74.980003,76.720001,74.779999,75.209999,75.209999,0
2011-07-14,74.849998,75.750000,74.650002,74.790001,74.790001,0
2011-07-21,74.669998,75.099998,73.419998,74.089996,74.089996,0
2011-07-28,74.080002,74.730003,73.580002,74.040001,74.040001,0
2011-08-04,73.919998,75.419998,73.820000,74.639999,74.639999,0
2011-08-11,74.860001,75.059998,73.449997,73.669998,73.669998,0
2011-08-18,73.790001,74.459999,73.570000,74.010002,74.010002,0
2011-08-25,74.050003,74.459999,73.519997,74.129997,74.129997,0
2011-09-01,74.480003,76.000000,74.139999,75.459999,75.459999,0
2011-09-08,75.500000,77.779999,75.230003,76.830002,76.830002,0
2011-09-15,76.800003,77.839996,76.059998,77.339996,77.339996,0
2011-09-22,77.739998,78.860001,77.300003,77.849998,77.849998,0
2011-09-29,78.059998,79.830002,77.419998,78.910004,78.910004,0
